data;dia;hora;titulo;descricao;local
29/04/2025;terça-feira;;DIA INTERNACIONAL DA DANÇA Queridas famílias, Iremos realizar uma atividade de culinária baseada na apostila: Vitamina de abacate. Para que possamos desenvolver essa experiência de forma especial, pedimos que se organizem para a compra dos ingredientes necessários para toda a turma. Ingredientes: 1 abacate 1 litro de leite 4 colheres de açúcar Contamos com a colaboração de todos para tornar esse momento ainda mais divertido e educativo.;;
;;;;;
;;;;;
